investor,investor,pagerank
173,173,1.3970602189617621e-08
174,174,1.3970602189617621e-08
175,175,1.3970602189617621e-08
176,176,1.3970602189617621e-08
177,177,1.3970602189617621e-08
178,178,2.218536382246696e-07
179,179,1.3970602189617621e-08
180,180,1.3970602189617621e-08
181,181,1.3970602189617621e-08
182,182,1.3970602189617621e-08
183,183,1.3970602189617621e-08
184,184,1.790179799719335e-05
185,185,1.3970602189617621e-08
186,186,1.3970602189617621e-08
187,187,1.3970602189617621e-08
188,188,1.3970602189617621e-08
189,189,1.3970602189617621e-08
190,190,1.3970602189617621e-08
191,191,1.3970602189617621e-08
192,192,2.8559428931118204e-08
193,193,1.3970602189617621e-08
194,194,1.3970602189617621e-08
195,195,1.3970602189617621e-08
196,196,1.3970602189617621e-08
197,197,4.432125920173297e-06
198,198,5.400654132204811e-08
199,199,1.3970602189617621e-08
200,200,3.520097029045122e-05
201,201,2.8559428931119343e-08
202,202,7.009503544219441e-05
203,203,1.3970602189617621e-08
204,204,1.3970602189617621e-08
205,205,1.3970602189617621e-08
206,206,1.3970602189617621e-08
207,207,1.3970602189617621e-08
208,208,1.3970602189617621e-08
209,209,1.3970602189617621e-08
210,210,1.3970602189617621e-08
211,211,1.3970602189617621e-08
212,212,1.3970602189617621e-08
213,213,1.3970602189617621e-08
214,214,1.3970602189617621e-08
215,215,5.5015462208986775e-06
216,216,1.3970602189617621e-08
217,217,1.3970602189617621e-08
218,218,1.3970602189617621e-08
219,219,1.3970602189617621e-08
220,220,1.3970602189617621e-08
221,221,1.3970602189617621e-08
222,222,1.3970602189617621e-08
223,223,4.154516124543967e-06
224,224,1.3970602189617621e-08
225,225,1.3970602189617621e-08
226,226,1.3970602189617621e-08
227,227,1.3970602189617621e-08
228,228,1.3970602189617621e-08
229,229,1.3970602189617621e-08
230,230,6.278808056584574e-06
231,231,1.3970602189617621e-08
232,232,1.3970602189617621e-08
233,233,1.3970602189617621e-08
234,234,1.3970602189617621e-08
235,235,1.3970602189617621e-08
236,236,1.3970602189617621e-08
237,237,1.3970602189617621e-08
238,238,1.3970602189617621e-08
239,239,1.3970602189617621e-08
240,240,1.3970602189617621e-08
241,241,3.510119104889551e-06
242,242,1.790179799719357e-05
243,243,1.3970602189617621e-08
244,244,1.3970602189617621e-08
245,245,7.105912124787977e-06
246,246,1.3970602189617621e-08
247,247,1.3970602189617621e-08
248,248,1.3970602189617621e-08
249,249,8.487771686003051e-07
250,250,1.3970602189617621e-08
251,251,1.3970602189617621e-08
252,252,1.3970602189617621e-08
253,253,1.3970602189617621e-08
254,254,1.3970602189617621e-08
255,255,1.3970602189617621e-08
256,256,2.855942893111774e-08
257,257,4.92317089771948e-06
258,258,1.3970602189617621e-08
259,259,1.3970602189617621e-08
260,260,1.3970602189617621e-08
261,261,1.3970602189617621e-08
262,262,1.3970602189617621e-08
263,263,1.3970602189617621e-08
264,264,1.3970602189617621e-08
265,265,1.3970602189617621e-08
266,266,1.3970602189617621e-08
267,267,1.3970602189617621e-08
268,268,1.3970602189617621e-08
269,269,1.3970602189617621e-08
270,270,1.7901797997193397e-05
271,271,1.3970602189617621e-08
272,272,1.3970602189617621e-08
273,273,1.3970602189617621e-08
274,274,1.3970602189617621e-08
275,275,1.3970602189617621e-08
276,276,1.3970602189617621e-08
277,277,1.3970602189617621e-08
278,278,2.8559428931119343e-08
279,279,1.3970602189617621e-08
280,280,1.790179799719372e-05
281,281,1.3970602189617621e-08
282,282,1.3970602189617621e-08
283,283,2.0562959416937033e-07
284,284,1.8565886690630773e-07
285,285,1.3970602189617621e-08
286,286,1.3970602189617621e-08
287,287,1.3970602189617621e-08
288,288,1.3970602189617621e-08
289,289,1.3970602189617621e-08
290,290,1.3970602189617621e-08
291,291,1.3970602189617621e-08
292,292,1.3970602189617621e-08
293,293,1.3970602189617621e-08
294,294,1.3970602189617621e-08
295,295,1.3970602189617621e-08
296,296,1.3970602189617621e-08
297,297,1.3970602189617621e-08
298,298,1.3970602189617621e-08
299,299,1.3970602189617621e-08
300,300,1.7901797997193346e-05
301,301,1.3970602189617621e-08
302,302,1.3970602189617621e-08
303,303,1.3970602189617621e-08
304,304,2.1679916973847042e-06
305,305,1.3970602189617621e-08
306,306,1.3970602189617621e-08
307,307,1.3970602189617621e-08
308,308,1.3970602189617621e-08
309,309,3.3973730018934834e-07
310,310,1.3970602189617621e-08
311,311,1.3970602189617621e-08
312,312,1.3970602189617621e-08
313,313,1.3970602189617621e-08
314,314,1.3970602189617621e-08
315,315,1.3970602189617621e-08
316,316,1.3970602189617621e-08
317,317,1.3970602189617621e-08
318,318,1.3970602189617621e-08
319,319,1.3970602189617621e-08
320,320,1.3970602189617621e-08
321,321,1.3970602189617621e-08
322,322,1.3970602189617621e-08
323,323,1.3970602189617621e-08
324,324,1.3970602189617621e-08
325,325,1.3970602189617621e-08
326,326,1.3970602189617621e-08
327,327,1.3970602189617621e-08
328,328,1.3970602189617621e-08
329,329,1.3970602189617621e-08
330,330,1.3970602189617621e-08
331,331,1.3970602189617621e-08
332,332,1.3970602189617621e-08
333,333,1.3970602189617621e-08
334,334,1.3970602189617621e-08
335,335,1.3970602189617621e-08
336,336,1.3970602189617621e-08
337,337,1.3970602189617621e-08
338,338,1.3970602189617621e-08
339,339,1.3970602189617621e-08
340,340,1.3970602189617621e-08
341,341,1.3970602189617621e-08
342,342,2.562021066539952e-07
343,343,1.3970602189617621e-08
344,344,1.3970602189617621e-08
345,345,1.3970602189617621e-08
346,346,1.3970602189617621e-08
347,347,1.3970602189617621e-08
348,348,1.3970602189617621e-08
349,349,1.3970602189617621e-08
350,350,1.3970602189617621e-08
351,351,1.3970602189617621e-08
352,352,1.3970602189617621e-08
353,353,1.3970602189617621e-08
354,354,1.3970602189617621e-08
355,355,1.3970602189617621e-08
356,356,1.3970602189617621e-08
357,357,1.3970602189617621e-08
358,358,1.3970602189617621e-08
359,359,1.3970602189617621e-08
360,360,1.3970602189617621e-08
361,361,6.47329662423113e-05
362,362,1.3970602189617621e-08
363,363,5.400654132205159e-08
364,364,1.3970602189617621e-08
365,365,1.3970602189617621e-08
366,366,1.3970602189617621e-08
367,367,1.3970602189617621e-08
368,368,1.3970602189617621e-08
369,369,1.3970602189617621e-08
370,370,1.3970602189617621e-08
371,371,1.3970602189617621e-08
372,372,1.3970602189617621e-08
373,373,1.3970602189617621e-08
374,374,1.3970602189617621e-08
375,375,1.3970602189617621e-08
376,376,1.3970602189617621e-08
377,377,1.3970602189617621e-08
378,378,1.3970602189617621e-08
379,379,1.3970602189617621e-08
380,380,1.3970602189617621e-08
381,381,1.3970602189617621e-08
382,382,1.3970602189617621e-08
383,383,1.3970602189617621e-08
384,384,1.3970602189617621e-08
385,385,1.3970602189617621e-08
386,386,1.3970602189617621e-08
387,387,1.3970602189617621e-08
388,388,1.3970602189617621e-08
389,389,1.3970602189617621e-08
390,390,1.3970602189617621e-08
391,391,1.3970602189617621e-08
392,392,1.3970602189617621e-08
393,393,1.3970602189617621e-08
394,394,1.3970602189617621e-08
395,395,1.9231577599401327e-07
396,396,1.3970602189617621e-08
397,397,1.3970602189617621e-08
398,398,1.3970602189617621e-08
399,399,1.3970602189617621e-08
400,400,1.3970602189617621e-08
401,401,1.3970602189617621e-08
402,402,1.3970602189617621e-08
403,403,1.3970602189617621e-08
404,404,1.3970602189617621e-08
405,405,1.3970602189617621e-08
406,406,1.3970602189617621e-08
407,407,1.3970602189617621e-08
408,408,1.3970602189617621e-08
409,409,1.3970602189617621e-08
410,410,1.3970602189617621e-08
411,411,1.3970602189617621e-08
412,412,1.3970602189617621e-08
413,413,1.3970602189617621e-08
414,414,1.3970602189617621e-08
415,415,5.099826114602904e-06
416,416,1.3970602189617621e-08
417,417,1.3970602189617621e-08
418,418,1.790179799719328e-05
419,419,1.3970602189617621e-08
420,420,1.3970602189617621e-08
421,421,1.3970602189617621e-08
422,422,1.3970602189617621e-08
423,423,1.3970602189617621e-08
424,424,1.3970602189617621e-08
425,425,2.0686869014741716e-06
426,426,1.3970602189617621e-08
427,427,1.3970602189617621e-08
428,428,1.3970602189617621e-08
429,429,1.3970602189617621e-08
430,430,1.3970602189617621e-08
431,431,1.3970602189617621e-08
432,432,1.3970602189617621e-08
433,433,1.3970602189617621e-08
434,434,1.3970602189617621e-08
435,435,1.3970602189617621e-08
436,436,1.3970602189617621e-08
437,437,1.3970602189617621e-08
438,438,1.3970602189617621e-08
439,439,1.3970602189617621e-08
440,440,1.3970602189617621e-08
441,441,1.3970602189617621e-08
442,442,1.3970602189617621e-08
443,443,1.3970602189617621e-08
444,444,1.3970602189617621e-08
445,445,1.3970602189617621e-08
446,446,1.3970602189617621e-08
447,447,1.3970602189617621e-08
448,448,6.52147241876038e-08
449,449,1.3970602189617621e-08
450,450,1.3970602189617621e-08
451,451,1.7901797997193173e-05
452,452,1.3970602189617621e-08
453,453,1.3970602189617621e-08
454,454,1.3970602189617621e-08
455,455,1.3970602189617621e-08
456,456,1.3970602189617621e-08
457,457,1.3970602189617621e-08
458,458,1.3970602189617621e-08
459,459,1.3970602189617621e-08
460,460,1.3970602189617621e-08
461,461,1.3970602189617621e-08
462,462,1.3970602189617621e-08
463,463,1.3970602189617621e-08
464,464,1.3970602189617621e-08
465,465,2.056295941693806e-07
466,466,1.3970602189617621e-08
467,467,1.3970602189617621e-08
468,468,1.3970602189617621e-08
469,469,1.3970602189617621e-08
470,470,1.3970602189617621e-08
471,471,1.3970602189617621e-08
472,472,1.3970602189617621e-08
473,473,1.3970602189617621e-08
474,474,1.3970602189617621e-08
475,475,2.0165003810000124e-08
476,476,1.3970602189617621e-08
477,477,1.3970602189617621e-08
478,478,1.3970602189617621e-08
479,479,1.3970602189617621e-08
480,480,1.3970602189617621e-08
481,481,2.847445649654052e-07
482,482,1.3970602189617621e-08
483,483,1.3970602189617621e-08
484,484,2.8559428931119326e-08
485,485,1.3970602189617621e-08
486,486,1.3970602189617621e-08
487,487,1.3970602189617621e-08
488,488,1.3970602189617621e-08
489,489,1.7901797997193146e-05
490,490,2.1431771794055063e-07
491,491,1.3970602189617621e-08
492,492,2.7882940151874827e-06
493,493,1.7939079439407802e-08
494,494,1.3970602189617621e-08
495,495,1.3970602189617621e-08
496,496,1.3970602189617621e-08
497,497,1.3970602189617621e-08
498,498,1.3970602189617621e-08
499,499,1.7901797997193173e-05
500,500,7.439134977977621e-07
501,501,1.3970602189617621e-08
502,502,1.3970602189617621e-08
503,503,1.3970602189617621e-08
504,504,1.3970602189617621e-08
505,505,1.3970602189617621e-08
506,506,1.3970602189617621e-08
507,507,1.3970602189617621e-08
508,508,1.3970602189617621e-08
509,509,1.3970602189617621e-08
510,510,1.3970602189617621e-08
511,511,1.3970602189617621e-08
512,512,1.3970602189617621e-08
513,513,1.3970602189617621e-08
514,514,1.3970602189617621e-08
515,515,1.3970602189617621e-08
516,516,1.3970602189617621e-08
517,517,1.3970602189617621e-08
518,518,1.7901797997193343e-05
519,519,1.3970602189617621e-08
520,520,1.3970602189617621e-08
521,521,1.3970602189617621e-08
522,522,1.3970602189617621e-08
523,523,2.855942893111929e-08
524,524,1.3970602189617621e-08
525,525,1.3970602189617621e-08
526,526,1.3970602189617621e-08
527,527,1.3970602189617621e-08
528,528,1.3970602189617621e-08
529,529,1.7901797997193122e-05
530,530,2.126501556036937e-08
531,531,1.3970602189617621e-08
532,532,1.3970602189617621e-08
533,533,1.3970602189617621e-08
534,534,3.804458276966686e-08
535,535,1.7939079439407802e-08
536,536,1.3970602189617621e-08
537,537,1.303614774395276e-06
538,538,1.3970602189617621e-08
539,539,1.3970602189617621e-08
540,540,3.510875658477204e-08
541,541,1.3970602189617621e-08
542,542,1.3970602189617621e-08
543,543,1.3970602189617621e-08
544,544,1.3970602189617621e-08
545,545,2.8559428931119137e-08
546,546,5.263340951116535e-08
547,547,1.7901797997193664e-05
548,548,2.546193773584614e-08
549,549,1.3970602189617621e-08
550,550,1.3970602189617621e-08
551,551,1.3970602189617621e-08
552,552,1.3970602189617621e-08
553,553,1.3970602189617621e-08
554,554,2.855942893111924e-08
555,555,1.3970602189617621e-08
556,556,1.3970602189617621e-08
557,557,1.3970602189617621e-08
558,558,1.3970602189617621e-08
559,559,1.3970602189617621e-08
560,560,1.3970602189617621e-08
561,561,1.3970602189617621e-08
562,562,1.3970602189617621e-08
563,563,1.3970602189617621e-08
564,564,1.3970602189617621e-08
565,565,1.3970602189617621e-08
566,566,2.8559428931119333e-08
567,567,1.3970602189617621e-08
568,568,1.3970602189617621e-08
569,569,1.3970602189617621e-08
570,570,1.7901797997193268e-05
571,571,1.790179799719314e-05
572,572,1.3970602189617621e-08
573,573,1.3970602189617621e-08
574,574,1.3970602189617621e-08
575,575,1.3970602189617621e-08
576,576,1.3970602189617621e-08
577,577,1.3970602189617621e-08
578,578,1.3970602189617621e-08
579,579,1.3970602189617621e-08
580,580,1.3970602189617621e-08
581,581,1.3970602189617621e-08
582,582,1.3970602189617621e-08
583,583,1.3970602189617621e-08
584,584,1.3970602189617621e-08
585,585,1.3970602189617621e-08
586,586,1.3970602189617621e-08
587,587,2.8559428931119316e-08
588,588,1.3970602189617621e-08
589,589,1.3970602189617621e-08
590,590,1.3970602189617621e-08
591,591,1.3970602189617621e-08
592,592,1.3970602189617621e-08
593,593,2.891719342676897e-08
594,594,1.3970602189617621e-08
595,595,1.3970602189617621e-08
596,596,1.3970602189617621e-08
597,597,1.3970602189617621e-08
598,598,1.3970602189617621e-08
599,599,1.3970602189617621e-08
600,600,1.3970602189617621e-08
601,601,1.3970602189617621e-08
602,602,1.3970602189617621e-08
603,603,1.3970602189617621e-08
604,604,1.3970602189617621e-08
605,605,2.8559428931119313e-08
606,606,2.546193773584583e-08
607,607,1.3970602189617621e-08
608,608,1.3970602189617621e-08
609,609,1.3970602189617621e-08
610,610,2.1265015560369294e-08
611,611,1.3970602189617621e-08
612,612,1.3970602189617621e-08
613,613,1.3970602189617621e-08
614,614,1.3970602189617621e-08
615,615,1.3970602189617621e-08
616,616,1.3970602189617621e-08
617,617,1.3970602189617621e-08
618,618,1.3970602189617621e-08
619,619,1.3970602189617621e-08
620,620,1.3970602189617621e-08
621,621,1.3970602189617621e-08
622,622,1.3970602189617621e-08
623,623,1.849045309894341e-05
624,624,1.3970602189617621e-08
625,625,1.3970602189617621e-08
626,626,2.0165003810000124e-08
627,627,1.3970602189617621e-08
628,628,1.3970602189617621e-08
629,629,1.3970602189617621e-08
630,630,1.3970602189617621e-08
631,631,1.3970602189617621e-08
632,632,1.3970602189617621e-08
633,633,1.3970602189617621e-08
634,634,1.3970602189617621e-08
635,635,3.58538423018693e-08
636,636,1.3970602189617621e-08
637,637,1.3970602189617621e-08
638,638,1.3970602189617621e-08
639,639,1.3970602189617621e-08
640,640,1.3970602189617621e-08
641,641,1.3970602189617621e-08
642,642,1.3970602189617621e-08
643,643,1.3970602189617621e-08
644,644,1.3970602189617621e-08
645,645,1.3970602189617621e-08
646,646,1.3970602189617621e-08
647,647,1.3970602189617621e-08
648,648,1.3970602189617621e-08
649,649,1.3970602189617621e-08
650,650,1.790179799719325e-05
651,651,1.7901797997193126e-05
652,652,1.3970602189617621e-08
653,653,1.3970602189617621e-08
654,654,1.3970602189617621e-08
655,655,1.3970602189617621e-08
656,656,1.3970602189617621e-08
657,657,1.3970602189617621e-08
658,658,1.3970602189617621e-08
659,659,1.3970602189617621e-08
660,660,1.3970602189617621e-08
661,661,1.3970602189617621e-08
662,662,1.3970602189617621e-08
663,663,1.3970602189617621e-08
664,664,1.3970602189617621e-08
665,665,1.3970602189617621e-08
666,666,1.3970602189617621e-08
667,667,1.3970602189617621e-08
668,668,1.3970602189617621e-08
669,669,1.3970602189617621e-08
670,670,1.3970602189617621e-08
671,671,1.3970602189617621e-08
672,672,1.3970602189617621e-08
673,673,1.3970602189617621e-08
674,674,1.3970602189617621e-08
675,675,1.3970602189617621e-08
676,676,1.3970602189617621e-08
677,677,1.3970602189617621e-08
678,678,1.849045309894364e-05
679,679,1.3970602189617621e-08
680,680,1.3970602189617621e-08
681,681,1.3970602189617621e-08
682,682,1.3970602189617621e-08
683,683,1.3970602189617621e-08
684,684,1.3970602189617621e-08
685,685,1.3970602189617621e-08
686,686,1.3970602189617621e-08
687,687,1.3970602189617621e-08
688,688,1.3970602189617621e-08
689,689,1.3970602189617621e-08
690,690,1.3970602189617621e-08
691,691,1.3970602189617621e-08
692,692,1.3970602189617621e-08
693,693,1.3970602189617621e-08
694,694,1.3970602189617621e-08
695,695,1.3970602189617621e-08
696,696,1.3970602189617621e-08
697,697,1.3970602189617621e-08
698,698,1.3970602189617621e-08
699,699,1.3970602189617621e-08
700,700,1.3970602189617621e-08
701,701,1.3970602189617621e-08
702,702,1.3970602189617621e-08
703,703,1.3970602189617621e-08
704,704,1.3970602189617621e-08
705,705,1.3970602189617621e-08
706,706,1.3970602189617621e-08
707,707,1.3970602189617621e-08
708,708,2.9653666024338725e-06
709,709,1.3970602189617621e-08
710,710,1.7901797997193302e-05
711,711,1.3970602189617621e-08
712,712,1.3970602189617621e-08
713,713,1.3970602189617621e-08
714,714,1.3970602189617621e-08
715,715,1.3970602189617621e-08
716,716,1.3970602189617621e-08
717,717,3.520097029044933e-05
718,718,1.3970602189617621e-08
719,719,1.3970602189617621e-08
720,720,1.790179799719308e-05
721,721,1.3970602189617621e-08
722,722,3.804458276966394e-08
723,723,1.3970602189617621e-08
724,724,1.3970602189617621e-08
725,725,1.3970602189617621e-08
726,726,1.3970602189617621e-08
727,727,1.3970602189617621e-08
728,728,1.3970602189617621e-08
729,729,1.3970602189617621e-08
730,730,1.3970602189617621e-08
731,731,1.3970602189617621e-08
732,732,4.3148255672620945e-08
733,733,2.855942893111923e-08
734,734,1.3970602189617621e-08
735,735,1.3970602189617621e-08
736,736,1.3970602189617621e-08
737,737,1.3970602189617621e-08
738,738,1.3970602189617621e-08
739,739,1.3970602189617621e-08
740,740,1.3970602189617621e-08
741,741,1.3970602189617621e-08
742,742,1.3970602189617621e-08
743,743,1.3970602189617621e-08
744,744,1.3970602189617621e-08
745,745,1.3970602189617621e-08
746,746,1.3970602189617621e-08
747,747,1.3970602189617621e-08
748,748,1.3970602189617621e-08
749,749,1.3970602189617621e-08
750,750,1.3970602189617621e-08
751,751,1.3970602189617621e-08
752,752,1.3970602189617621e-08
753,753,1.3970602189617621e-08
754,754,1.3970602189617621e-08
755,755,1.3970602189617621e-08
756,756,1.3970602189617621e-08
757,757,1.3970602189617621e-08
758,758,1.3970602189617621e-08
759,759,1.3970602189617621e-08
760,760,1.3970602189617621e-08
761,761,1.3970602189617621e-08
762,762,1.3970602189617621e-08
763,763,1.3970602189617621e-08
764,764,1.3970602189617621e-08
765,765,1.3970602189617621e-08
766,766,1.3970602189617621e-08
767,767,1.3970602189617621e-08
768,768,1.7901797997193244e-05
769,769,1.7901797997193197e-05
770,770,2.4594662387341887e-06
771,771,1.3970602189617621e-08
772,772,1.3970602189617621e-08
773,773,1.3970602189617621e-08
774,774,1.3970602189617621e-08
775,775,2.381285136279276e-06
776,776,1.3970602189617621e-08
777,777,1.790179799719314e-05
778,778,1.3970602189617621e-08
779,779,1.3970602189617621e-08
780,780,1.7901797997193183e-05
781,781,1.3970602189617621e-08
782,782,1.3970602189617621e-08
783,783,1.3970602189617621e-08
784,784,1.3970602189617621e-08
785,785,1.3970602189617621e-08
786,786,1.3970602189617621e-08
787,787,1.3970602189617621e-08
788,788,1.3970602189617621e-08
789,789,1.3970602189617621e-08
790,790,1.3970602189617621e-08
791,791,1.3970602189617621e-08
792,792,1.3970602189617621e-08
793,793,1.3970602189617621e-08
794,794,1.3970602189617621e-08
795,795,1.3970602189617621e-08
796,796,1.3970602189617621e-08
797,797,1.3970602189617621e-08
798,798,1.3970602189617621e-08
799,799,1.3970602189617621e-08
800,800,1.3970602189617621e-08
801,801,9.804823359118858e-06
802,802,1.3970602189617621e-08
803,803,1.3970602189617621e-08
804,804,1.3970602189617621e-08
805,805,1.3970602189617621e-08
806,806,1.3970602189617621e-08
807,807,1.3970602189617621e-08
808,808,1.3970602189617621e-08
809,809,1.3970602189617621e-08
810,810,1.3970602189617621e-08
811,811,1.3970602189617621e-08
812,812,1.3970602189617621e-08
813,813,1.3970602189617621e-08
814,814,1.7901797997193156e-05
815,815,1.3970602189617621e-08
816,816,1.3970602189617621e-08
817,817,1.3970602189617621e-08
818,818,1.3970602189617621e-08
819,819,1.3970602189617621e-08
820,820,1.3970602189617621e-08
821,821,1.3970602189617621e-08
822,822,1.3970602189617621e-08
823,823,2.532240690335949e-06
824,824,1.3970602189617621e-08
825,825,1.3970602189617621e-08
826,826,1.3970602189617621e-08
827,827,1.3970602189617621e-08
828,828,1.3970602189617621e-08
829,829,1.3970602189617621e-08
830,830,1.3970602189617621e-08
831,831,1.3970602189617621e-08
832,832,3.141998556681327e-07
833,833,1.3970602189617621e-08
834,834,1.3970602189617621e-08
835,835,1.3970602189617621e-08
836,836,1.3970602189617621e-08
837,837,1.3970602189617621e-08
838,838,1.3970602189617621e-08
839,839,1.3970602189617621e-08
840,840,2.855942893111928e-08
841,841,1.3970602189617621e-08
842,842,1.3970602189617621e-08
843,843,1.3970602189617621e-08
844,844,1.3970602189617621e-08
845,845,1.3970602189617621e-08
846,846,1.3970602189617621e-08
847,847,1.7901797997193146e-05
848,848,1.3970602189617621e-08
849,849,1.3970602189617621e-08
850,850,1.3970602189617621e-08
851,851,1.3970602189617621e-08
852,852,1.3970602189617621e-08
853,853,1.3970602189617621e-08
854,854,1.3970602189617621e-08
855,855,1.3970602189617621e-08
856,856,1.12195192211657e-06
857,857,1.3970602189617621e-08
858,858,1.3970602189617621e-08
859,859,1.3970602189617621e-08
860,860,1.3970602189617621e-08
861,861,1.3970602189617621e-08
862,862,1.3970602189617621e-08
863,863,1.3970602189617621e-08
864,864,1.3970602189617621e-08
865,865,1.3970602189617621e-08
866,866,1.3970602189617621e-08
867,867,1.3970602189617621e-08
868,868,1.3970602189617621e-08
869,869,1.3970602189617621e-08
870,870,1.3970602189617621e-08
871,871,1.3970602189617621e-08
872,872,1.3970602189617621e-08
873,873,1.3970602189617621e-08
874,874,1.3970602189617621e-08
875,875,1.3970602189617621e-08
876,876,1.3970602189617621e-08
877,877,1.3970602189617621e-08
