investor,pagerank
1363,6.5769738350802555e-06
2080,6.506458276602609e-06
1566,6.388120832380216e-06
230,6.278808056584574e-06
1948,6.273696916385175e-06
1092,5.889673970069553e-06
215,5.5015462208986775e-06
1217,5.249714410385494e-06
415,5.099826114602904e-06
3260,4.97266437152864e-06
257,4.92317089771948e-06
60,4.865428508234013e-06
64,4.863295298071662e-06
1669,4.804866576032476e-06
41,4.724904454305851e-06
2125,4.5448797279997845e-06
1953,4.505951678004055e-06
3598,4.446172970233934e-06
6,4.432125920173297e-06
197,4.432125920173297e-06
17,4.432125920173297e-06
3389,4.4315841434924334e-06
5212,4.192367554913596e-06
223,4.154516124543967e-06
1555,4.108460248969357e-06
2165,3.9091094040334275e-06
1492,3.824289603617679e-06
23,3.7326148737049903e-06
13,3.707648527456942e-06
5014,3.693059700715442e-06
4261,3.6509400973976897e-06
2082,3.562546737201378e-06
241,3.510119104889551e-06
3429,3.4896980108840034e-06
2438,3.481020270978256e-06
2349,3.4770517937284658e-06
3897,3.2987074823854556e-06
2246,3.19124750927475e-06
1752,3.1558835480150854e-06
167,3.0913665996567684e-06
5411,3.0507929757685055e-06
4499,3.0507929757685055e-06
905,3.022943302771925e-06
5422,3.0201596561567385e-06
35,2.9987543189613245e-06
708,2.9653666024338725e-06
1268,2.797603768826942e-06
492,2.7882940151874827e-06
2683,2.742996862250669e-06
2498,2.6589542403927784e-06
5162,2.6553070337074028e-06
823,2.532240690335949e-06
1316,2.4788711744074524e-06
104,2.4740550654756887e-06
770,2.4594662387341887e-06
775,2.381285136279276e-06
2485,2.335490424363444e-06
1334,2.3309270846316913e-06
3018,2.2981636924358936e-06
3125,2.2215723520430213e-06
304,2.1679916973847042e-06
1543,2.0940996544204974e-06
425,2.0686869014741716e-06
1396,2.068261009205178e-06
1769,1.905633067034441e-06
2685,1.819147449075677e-06
2167,1.7684824960542253e-06
997,1.6622393382188967e-06
1860,1.6081878556583125e-06
1899,1.4698617352419479e-06
2078,1.468523632593581e-06
4649,1.39982665793524e-06
135,1.3630447761905078e-06
5299,1.3622612111102298e-06
3859,1.3154522070328053e-06
1846,1.3154522070328053e-06
1896,1.304752780751261e-06
4144,1.303614774395276e-06
4238,1.303614774395276e-06
537,1.303614774395276e-06
3,1.2408937005998514e-06
5929,1.2408937005998514e-06
62,1.2408937005998514e-06
1701,1.144282717700344e-06
2188,1.13654074885807e-06
856,1.12195192211657e-06
1771,1.1079884698595136e-06
2076,1.1043412631741386e-06
4257,1.0719376308380806e-06
5404,1.0099431821132854e-06
10,1.0013922250765162e-06
1731,9.265267670002946e-07
3719,8.764972908198797e-07
249,8.487771686003051e-07
4833,8.124997439838558e-07
16,8.010451093258492e-07
1366,7.881019908380623e-07
500,7.439134977977621e-07
1204,7.294738719032715e-07
1473,7.294738719032715e-07
21,7.181603665497038e-07
2680,7.132187785962026e-07
2682,6.808286690527939e-07
2684,6.808286690527939e-07
2067,6.102826899933228e-07
4348,5.673465097017733e-07
4356,5.673465097017733e-07
882,5.447352693892857e-07
2198,5.161398294552206e-07
5239,5.090646690766674e-07
2028,5.064068753337544e-07
1810,4.840802144594303e-07
4823,4.6701655098181636e-07
1191,4.6701655098181636e-07
1832,4.4525142981421475e-07
4659,4.4525142981421475e-07
2822,4.4525142981421475e-07
1529,4.4156925650990754e-07
4635,3.731998395248527e-07
4400,3.513165994126022e-07
309,3.3973730018934834e-07
1317,3.3973730018934834e-07
5472,3.373764043599426e-07
5473,3.373764043599426e-07
1354,3.367907653243887e-07
4824,3.285680775738397e-07
920,3.2469096816182193e-07
2176,3.1939439458101395e-07
832,3.141998556681327e-07
481,2.847445649654052e-07
4611,2.6554177595877424e-07
2110,2.615176356331252e-07
3488,2.615176356331252e-07
342,2.562021066539952e-07
2942,2.553067688201927e-07
4899,2.455710486956724e-07
4694,2.3636412247576645e-07
5237,2.2560032143254715e-07
2897,2.2560032143250877e-07
1207,2.218536382246696e-07
178,2.218536382246696e-07
490,2.1431771794055063e-07
93,2.1431771794055063e-07
8,2.1431771794055063e-07
5240,2.1101149469104717e-07
4320,2.0562959416942978e-07
3714,2.0562959416942973e-07
4918,2.056295941694042e-07
465,2.056295941693806e-07
283,2.0562959416937033e-07
119,2.05629594169362e-07
3552,1.979407029658852e-07
395,1.9231577599401327e-07
3293,1.8921500804956852e-07
1765,1.862380593955415e-07
3725,1.8565886690633446e-07
5259,1.8565886690632253e-07
4884,1.8565886690632253e-07
5284,1.8565886690631702e-07
127,1.856588669063079e-07
284,1.8565886690630773e-07
1556,1.8565886690630455e-07
3735,1.5742739848104103e-07
1743,1.3274674813334255e-07
2214,1.1694662783518663e-07
2725,1.1694662783518663e-07
3416,1.1694662783518663e-07
3642,8.691473589712044e-08
2763,8.516162659314529e-08
923,7.96203225263634e-08
4515,7.492564672365933e-08
2127,7.32063049657978e-08
1690,7.304143814692042e-08
5729,7.232590915561689e-08
3744,7.186845523889524e-08
2700,6.952095987852828e-08
5203,6.863253985515117e-08
2672,6.610278462202002e-08
2013,6.52147241876038e-08
448,6.52147241876038e-08
143,6.52147241876038e-08
3157,6.52147241876038e-08
1352,6.270817517512136e-08
3129,6.000789137636627e-08
1840,5.845261140541213e-08
2733,5.6458320978526293e-08
3837,5.506488063474148e-08
4733,5.4717993194297965e-08
3504,5.400654132205546e-08
363,5.400654132205159e-08
1620,5.400654132205147e-08
1267,5.40065413220501e-08
1260,5.400654132204937e-08
198,5.400654132204811e-08
5622,5.386165813126451e-08
546,5.263340951116535e-08
5202,5.195001858307892e-08
2623,5.137522606104355e-08
3198,5.096530035789051e-08
4197,5.044266904336532e-08
2574,4.8232760187217226e-08
4393,4.714172410344208e-08
5712,4.386378466391798e-08
5960,4.386378466391708e-08
5506,4.386378466391587e-08
3976,4.386378466391574e-08
3367,4.386378466391386e-08
3734,4.386378466391363e-08
159,4.3148255672621004e-08
732,4.3148255672620945e-08
4559,4.3148255672618595e-08
5384,4.314825567261822e-08
3669,4.314825567261532e-08
1764,4.314825567261387e-08
2835,4.1869494237026316e-08
922,4.074461396789589e-08
911,4.074461396789578e-08
2296,3.852382308921921e-08
2962,3.845081278691277e-08
2017,3.845081278691277e-08
2934,3.845081278691277e-08
534,3.804458276966686e-08
959,3.804458276966686e-08
1166,3.804458276966572e-08
1037,3.804458276966572e-08
1261,3.804458276966572e-08
921,3.8044582769665375e-08
1328,3.8044582769665375e-08
2200,3.804458276966394e-08
722,3.804458276966394e-08
4639,3.8044582769660385e-08
5163,3.804458276965763e-08
4546,3.707912981495147e-08
2388,3.6636520330720565e-08
5201,3.621160679751802e-08
4235,3.62116067975178e-08
2548,3.5964623435586614e-08
635,3.58538423018693e-08
4707,3.583471425524807e-08
2628,3.5183187390241434e-08
2629,3.5183187390241434e-08
2631,3.5183187390241434e-08
540,3.510875658477204e-08
3500,3.510875658476982e-08
3878,3.4753830551499645e-08
2633,3.356936054849093e-08
3756,3.2561138151449736e-08
3086,3.2206635616493784e-08
160,3.111015488658547e-08
4354,3.0556163146531725e-08
4098,3.055616314653159e-08
3689,3.055616314653159e-08
3723,3.055616314653119e-08
3898,3.055616314653119e-08
3490,3.055616314653115e-08
3757,3.0255614658783824e-08
593,2.891719342676897e-08
5602,2.8915188776974232e-08
5623,2.8915188776974225e-08
2571,2.8780991198555645e-08
81,2.855942893111941e-08
45,2.855942893111936e-08
201,2.8559428931119343e-08
278,2.8559428931119343e-08
566,2.8559428931119333e-08
484,2.8559428931119326e-08
587,2.8559428931119316e-08
3975,2.8559428931119313e-08
605,2.8559428931119313e-08
1545,2.8559428931119306e-08
523,2.855942893111929e-08
1076,2.855942893111929e-08
840,2.855942893111928e-08
1643,2.855942893111925e-08
554,2.855942893111924e-08
733,2.855942893111923e-08
1140,2.8559428931119213e-08
2040,2.8559428931119167e-08
1368,2.8559428931119167e-08
1663,2.8559428931119147e-08
1600,2.8559428931119147e-08
545,2.8559428931119137e-08
1290,2.8559428931119124e-08
1839,2.8559428931119118e-08
1591,2.85594289311191e-08
1744,2.85594289311191e-08
1855,2.855942893111907e-08
1957,2.8559428931119068e-08
5971,2.8559428931119048e-08
1624,2.8559428931119045e-08
2543,2.85594289311189e-08
2658,2.855942893111885e-08
2427,2.855942893111884e-08
2674,2.8559428931118836e-08
2676,2.855942893111883e-08
2782,2.8559428931118787e-08
2688,2.8559428931118783e-08
2953,2.855942893111877e-08
3027,2.8559428931118737e-08
2896,2.8559428931118697e-08
5297,2.8559428931118677e-08
3119,2.8559428931118638e-08
1271,2.8559428931118634e-08
4080,2.8559428931118634e-08
3366,2.8559428931118628e-08
3333,2.8559428931118605e-08
3738,2.8559428931118568e-08
2437,2.8559428931118555e-08
2661,2.8559428931118532e-08
4075,2.8559428931118512e-08
3748,2.8559428931118502e-08
3451,2.8559428931118472e-08
896,2.8559428931118466e-08
3731,2.855942893111845e-08
2484,2.8559428931118426e-08
2404,2.855942893111842e-08
5826,2.855942893111841e-08
2262,2.8559428931118396e-08
4007,2.8559428931118376e-08
2079,2.8559428931118363e-08
5845,2.8559428931118357e-08
3168,2.8559428931118347e-08
3990,2.8559428931118337e-08
2284,2.855942893111829e-08
4217,2.8559428931118257e-08
3813,2.8559428931118254e-08
4855,2.855942893111823e-08
192,2.8559428931118204e-08
2777,2.8559428931118204e-08
1947,2.85594289311182e-08
4482,2.8559428931118145e-08
5551,2.8559428931118145e-08
4604,2.8559428931118125e-08
3404,2.8559428931118112e-08
3957,2.855942893111805e-08
4988,2.8559428931117963e-08
5028,2.855942893111796e-08
5013,2.8559428931117953e-08
5086,2.8559428931117933e-08
5080,2.855942893111792e-08
3452,2.8559428931117887e-08
3707,2.8559428931117817e-08
5464,2.8559428931117814e-08
5415,2.8559428931117814e-08
3828,2.855942893111779e-08
5476,2.8559428931117784e-08
5521,2.8559428931117758e-08
256,2.855942893111774e-08
4925,2.855942893111773e-08
3986,2.8559428931117728e-08
5612,2.8559428931117678e-08
5859,2.8559428931117652e-08
5439,2.8559428931117635e-08
5227,2.8559428931117615e-08
1877,2.8389136159442528e-08
2632,2.7862430734189014e-08
1318,2.7154690195833105e-08
2671,2.6274947177739668e-08
548,2.546193773584614e-08
1326,2.546193773584614e-08
606,2.546193773584583e-08
1122,2.546193773584583e-08
894,2.546193773584583e-08
953,2.546193773584583e-08
2622,2.5091104493568444e-08
4669,2.4264976733566122e-08
2670,2.3905257159603388e-08
3470,2.390525715960226e-08
5606,2.3905257159602246e-08
3025,2.3573823029152485e-08
3876,2.3548924053785223e-08
5790,2.3548924053785223e-08
3562,2.27954511336489e-08
4661,2.2115257545524316e-08
4119,2.20476935892206e-08
1403,2.20476935892206e-08
2666,2.1375796694086633e-08
2570,2.1375796694086633e-08
2634,2.1375796694086633e-08
20,2.1265015560369463e-08
109,2.1265015560369463e-08
1501,2.1265015560369453e-08
101,2.1265015560369453e-08
1068,2.126501556036937e-08
530,2.126501556036937e-08
610,2.1265015560369294e-08
1383,2.1265015560369175e-08
2266,2.1265015560369003e-08
2585,2.12650155603689e-08
2601,2.12650155603689e-08
1675,2.1265015560368808e-08
3239,2.126501556036868e-08
1098,2.12650155603686e-08
3555,2.126501556036857e-08
2838,2.1265015560368563e-08
3820,2.1265015560368553e-08
3699,2.1265015560368543e-08
3445,2.1265015560368543e-08
1802,2.1265015560368457e-08
4735,2.12650155603682e-08
4569,2.1265015560368106e-08
5824,2.126501556036803e-08
5200,2.1265015560367924e-08
5204,2.1265015560367924e-08
3759,2.067574282916955e-08
626,2.0165003810000124e-08
475,2.0165003810000124e-08
3781,2.016500380999967e-08
3655,2.016500380999967e-08
3888,2.016500380999967e-08
4035,2.016500380999967e-08
3208,2.016500380999967e-08
3567,1.985383481897213e-08
3569,1.985383481897213e-08
4668,1.9683786421940424e-08
4667,1.9683786421940424e-08
2657,1.89805338069897e-08
2669,1.89805338069897e-08
5661,1.8980533806989683e-08
5762,1.8980533806989683e-08
5806,1.8980533806989683e-08
1340,1.8833544436785763e-08
2721,1.8833544436785545e-08
4036,1.8833544436784995e-08
3724,1.8833544436784995e-08
4646,1.883354443678479e-08
4662,1.883354443678479e-08
4663,1.883354443678479e-08
5720,1.8833544436784416e-08
3408,1.7939079439407802e-08
1670,1.7939079439407802e-08
3736,1.7939079439407802e-08
2173,1.7939079439407802e-08
3760,1.7939079439407802e-08
1967,1.7939079439407802e-08
3394,1.7939079439407802e-08
493,1.7939079439407802e-08
535,1.7939079439407802e-08
29,1.7939079439407802e-08
2158,1.7617808874993972e-08
2419,1.7617808874993827e-08
1046,1.7617808874993718e-08
134,1.7617808874993718e-08
3566,1.6888367537918553e-08
3565,1.6888367537918553e-08
3564,1.6888367537918553e-08
3563,1.6888367537918553e-08
3545,1.6402073313201652e-08
1689,1.6402073313201652e-08
2142,1.6402073313201652e-08
4666,1.6402073313201513e-08
4522,1.6402073313201513e-08
4654,1.6402073313201513e-08
4048,1.3970602189617621e-08
4429,1.3970602189617621e-08
4049,1.3970602189617621e-08
4421,1.3970602189617621e-08
4462,1.3970602189617621e-08
4040,1.3970602189617621e-08
4050,1.3970602189617621e-08
4051,1.3970602189617621e-08
3962,1.3970602189617621e-08
4044,1.3970602189617621e-08
3963,1.3970602189617621e-08
4052,1.3970602189617621e-08
4053,1.3970602189617621e-08
4420,1.3970602189617621e-08
4054,1.3970602189617621e-08
4055,1.3970602189617621e-08
4419,1.3970602189617621e-08
4418,1.3970602189617621e-08
4056,1.3970602189617621e-08
4057,1.3970602189617621e-08
4058,1.3970602189617621e-08
3968,1.3970602189617621e-08
3961,1.3970602189617621e-08
4428,1.3970602189617621e-08
4427,1.3970602189617621e-08
4268,1.3970602189617621e-08
4043,1.3970602189617621e-08
4042,1.3970602189617621e-08
3967,1.3970602189617621e-08
4045,1.3970602189617621e-08
4426,1.3970602189617621e-08
4269,1.3970602189617621e-08
4046,1.3970602189617621e-08
3966,1.3970602189617621e-08
3965,1.3970602189617621e-08
4460,1.3970602189617621e-08
4422,1.3970602189617621e-08
4425,1.3970602189617621e-08
4047,1.3970602189617621e-08
3964,1.3970602189617621e-08
4424,1.3970602189617621e-08
4423,1.3970602189617621e-08
4267,1.3970602189617621e-08
4461,1.3970602189617621e-08
4059,1.3970602189617621e-08
4041,1.3970602189617621e-08
4450,1.3970602189617621e-08
4061,1.3970602189617621e-08
4060,1.3970602189617621e-08
4264,1.3970602189617621e-08
4081,1.3970602189617621e-08
4082,1.3970602189617621e-08
4464,1.3970602189617621e-08
4083,1.3970602189617621e-08
4084,1.3970602189617621e-08
4412,1.3970602189617621e-08
4085,1.3970602189617621e-08
4298,1.3970602189617621e-08
4265,1.3970602189617621e-08
4411,1.3970602189617621e-08
4410,1.3970602189617621e-08
4086,1.3970602189617621e-08
4266,1.3970602189617621e-08
3956,1.3970602189617621e-08
4295,1.3970602189617621e-08
4087,1.3970602189617621e-08
4088,1.3970602189617621e-08
4409,1.3970602189617621e-08
4089,1.3970602189617621e-08
4090,1.3970602189617621e-08
3955,1.3970602189617621e-08
3954,1.3970602189617621e-08
4303,1.3970602189617621e-08
4091,1.3970602189617621e-08
3958,1.3970602189617621e-08
3959,1.3970602189617621e-08
4417,1.3970602189617621e-08
4069,1.3970602189617621e-08
4271,1.3970602189617621e-08
4062,1.3970602189617621e-08
4416,1.3970602189617621e-08
4063,1.3970602189617621e-08
4064,1.3970602189617621e-08
4065,1.3970602189617621e-08
4066,1.3970602189617621e-08
4067,1.3970602189617621e-08
4415,1.3970602189617621e-08
4068,1.3970602189617621e-08
4463,1.3970602189617621e-08
4070,1.3970602189617621e-08
4079,1.3970602189617621e-08
4071,1.3970602189617621e-08
4072,1.3970602189617621e-08
4073,1.3970602189617621e-08
4074,1.3970602189617621e-08
3960,1.3970602189617621e-08
4414,1.3970602189617621e-08
4413,1.3970602189617621e-08
4302,1.3970602189617621e-08
4076,1.3970602189617621e-08
4077,1.3970602189617621e-08
4078,1.3970602189617621e-08
4270,1.3970602189617621e-08
4038,1.3970602189617621e-08
4039,1.3970602189617621e-08
4000,1.3970602189617621e-08
4290,1.3970602189617621e-08
4001,1.3970602189617621e-08
4002,1.3970602189617621e-08
4442,1.3970602189617621e-08
4282,1.3970602189617621e-08
4003,1.3970602189617621e-08
4004,1.3970602189617621e-08
4281,1.3970602189617621e-08
4005,1.3970602189617621e-08
3985,1.3970602189617621e-08
4006,1.3970602189617621e-08
4280,1.3970602189617621e-08
4008,1.3970602189617621e-08
4441,1.3970602189617621e-08
3984,1.3970602189617621e-08
4300,1.3970602189617621e-08
4279,1.3970602189617621e-08
4009,1.3970602189617621e-08
4010,1.3970602189617621e-08
4011,1.3970602189617621e-08
4278,1.3970602189617621e-08
4012,1.3970602189617621e-08
4292,1.3970602189617621e-08
4013,1.3970602189617621e-08
3983,1.3970602189617621e-08
3987,1.3970602189617621e-08
3999,1.3970602189617621e-08
4015,1.3970602189617621e-08
4283,1.3970602189617621e-08
3989,1.3970602189617621e-08
4286,1.3970602189617621e-08
3991,1.3970602189617621e-08
3992,1.3970602189617621e-08
3993,1.3970602189617621e-08
3994,1.3970602189617621e-08
4301,1.3970602189617621e-08
4285,1.3970602189617621e-08
3995,1.3970602189617621e-08
4449,1.3970602189617621e-08
4448,1.3970602189617621e-08
4447,1.3970602189617621e-08
4446,1.3970602189617621e-08
4445,1.3970602189617621e-08
4444,1.3970602189617621e-08
4284,1.3970602189617621e-08
3997,1.3970602189617621e-08
4451,1.3970602189617621e-08
4288,1.3970602189617621e-08
4452,1.3970602189617621e-08
3998,1.3970602189617621e-08
3988,1.3970602189617621e-08
4443,1.3970602189617621e-08
4289,1.3970602189617621e-08
4453,1.3970602189617621e-08
4014,1.3970602189617621e-08
4454,1.3970602189617621e-08
4287,1.3970602189617621e-08
4457,1.3970602189617621e-08
4027,1.3970602189617621e-08
4028,1.3970602189617621e-08
4435,1.3970602189617621e-08
3973,1.3970602189617621e-08
4029,1.3970602189617621e-08
4030,1.3970602189617621e-08
4274,1.3970602189617621e-08
4434,1.3970602189617621e-08
4031,1.3970602189617621e-08
4032,1.3970602189617621e-08
4033,1.3970602189617621e-08
4433,1.3970602189617621e-08
4458,1.3970602189617621e-08
3972,1.3970602189617621e-08
3971,1.3970602189617621e-08
4459,1.3970602189617621e-08
4273,1.3970602189617621e-08
4272,1.3970602189617621e-08
4432,1.3970602189617621e-08
4034,1.3970602189617621e-08
3970,1.3970602189617621e-08
4431,1.3970602189617621e-08
4037,1.3970602189617621e-08
4430,1.3970602189617621e-08
3969,1.3970602189617621e-08
4026,1.3970602189617621e-08
4299,1.3970602189617621e-08
4277,1.3970602189617621e-08
4294,1.3970602189617621e-08
4016,1.3970602189617621e-08
4440,1.3970602189617621e-08
4017,1.3970602189617621e-08
4439,1.3970602189617621e-08
3981,1.3970602189617621e-08
3980,1.3970602189617621e-08
4438,1.3970602189617621e-08
4293,1.3970602189617621e-08
4018,1.3970602189617621e-08
4455,1.3970602189617621e-08
3979,1.3970602189617621e-08
4019,1.3970602189617621e-08
4020,1.3970602189617621e-08
4021,1.3970602189617621e-08
4276,1.3970602189617621e-08
4022,1.3970602189617621e-08
4023,1.3970602189617621e-08
4263,1.3970602189617621e-08
4025,1.3970602189617621e-08
3978,1.3970602189617621e-08
3977,1.3970602189617621e-08
4275,1.3970602189617621e-08
4437,1.3970602189617621e-08
4436,1.3970602189617621e-08
4456,1.3970602189617621e-08
4024,1.3970602189617621e-08
4256,1.3970602189617621e-08
4408,1.3970602189617621e-08
4407,1.3970602189617621e-08
4164,1.3970602189617621e-08
4165,1.3970602189617621e-08
4166,1.3970602189617621e-08
4349,1.3970602189617621e-08
4347,1.3970602189617621e-08
4167,1.3970602189617621e-08
4168,1.3970602189617621e-08
4346,1.3970602189617621e-08
4169,1.3970602189617621e-08
4228,1.3970602189617621e-08
4170,1.3970602189617621e-08
4227,1.3970602189617621e-08
4345,1.3970602189617621e-08
4171,1.3970602189617621e-08
4344,1.3970602189617621e-08
4343,1.3970602189617621e-08
4342,1.3970602189617621e-08
4173,1.3970602189617621e-08
4226,1.3970602189617621e-08
4174,1.3970602189617621e-08
4175,1.3970602189617621e-08
4176,1.3970602189617621e-08
4177,1.3970602189617621e-08
4314,1.3970602189617621e-08
4225,1.3970602189617621e-08
4178,1.3970602189617621e-08
4179,1.3970602189617621e-08
4180,1.3970602189617621e-08
4341,1.3970602189617621e-08
4229,1.3970602189617621e-08
4163,1.3970602189617621e-08
4350,1.3970602189617621e-08
4154,1.3970602189617621e-08
4363,1.3970602189617621e-08
4313,1.3970602189617621e-08
4362,1.3970602189617621e-08
4361,1.3970602189617621e-08
4360,1.3970602189617621e-08
4233,1.3970602189617621e-08
4150,1.3970602189617621e-08
4151,1.3970602189617621e-08
4232,1.3970602189617621e-08
4359,1.3970602189617621e-08
4152,1.3970602189617621e-08
4153,1.3970602189617621e-08
4358,1.3970602189617621e-08
4155,1.3970602189617621e-08
4351,1.3970602189617621e-08
4156,1.3970602189617621e-08
4231,1.3970602189617621e-08
4357,1.3970602189617621e-08
4157,1.3970602189617621e-08
4230,1.3970602189617621e-08
4355,1.3970602189617621e-08
4158,1.3970602189617621e-08
4159,1.3970602189617621e-08
4160,1.3970602189617621e-08
4353,1.3970602189617621e-08
4352,1.3970602189617621e-08
4161,1.3970602189617621e-08
4162,1.3970602189617621e-08
4315,1.3970602189617621e-08
4340,1.3970602189617621e-08
4224,1.3970602189617621e-08
4219,1.3970602189617621e-08
4220,1.3970602189617621e-08
4318,1.3970602189617621e-08
4199,1.3970602189617621e-08
4200,1.3970602189617621e-08
4326,1.3970602189617621e-08
3953,1.3970602189617621e-08
4201,1.3970602189617621e-08
4202,1.3970602189617621e-08
4203,1.3970602189617621e-08
4325,1.3970602189617621e-08
4204,1.3970602189617621e-08
4324,1.3970602189617621e-08
4206,1.3970602189617621e-08
4207,1.3970602189617621e-08
4328,1.3970602189617621e-08
4218,1.3970602189617621e-08
4323,1.3970602189617621e-08
4322,1.3970602189617621e-08
4208,1.3970602189617621e-08
4209,1.3970602189617621e-08
4210,1.3970602189617621e-08
4321,1.3970602189617621e-08
4211,1.3970602189617621e-08
4212,1.3970602189617621e-08
4213,1.3970602189617621e-08
4214,1.3970602189617621e-08
4216,1.3970602189617621e-08
4319,1.3970602189617621e-08
4327,1.3970602189617621e-08
4196,1.3970602189617621e-08
4223,1.3970602189617621e-08
4334,1.3970602189617621e-08
4339,1.3970602189617621e-08
4316,1.3970602189617621e-08
4338,1.3970602189617621e-08
4182,1.3970602189617621e-08
4337,1.3970602189617621e-08
4336,1.3970602189617621e-08
4335,1.3970602189617621e-08
4183,1.3970602189617621e-08
4184,1.3970602189617621e-08
4185,1.3970602189617621e-08
4222,1.3970602189617621e-08
4186,1.3970602189617621e-08
4187,1.3970602189617621e-08
4333,1.3970602189617621e-08
4329,1.3970602189617621e-08
4188,1.3970602189617621e-08
4189,1.3970602189617621e-08
4332,1.3970602189617621e-08
4190,1.3970602189617621e-08
4331,1.3970602189617621e-08
4191,1.3970602189617621e-08
4221,1.3970602189617621e-08
4192,1.3970602189617621e-08
4193,1.3970602189617621e-08
4330,1.3970602189617621e-08
4194,1.3970602189617621e-08
4195,1.3970602189617621e-08
4317,1.3970602189617621e-08
4364,1.3970602189617621e-08
4234,1.3970602189617621e-08
4149,1.3970602189617621e-08
4385,1.3970602189617621e-08
4394,1.3970602189617621e-08
4392,1.3970602189617621e-08
4391,1.3970602189617621e-08
4390,1.3970602189617621e-08
4306,1.3970602189617621e-08
4389,1.3970602189617621e-08
4388,1.3970602189617621e-08
4105,1.3970602189617621e-08
4387,1.3970602189617621e-08
4386,1.3970602189617621e-08
4106,1.3970602189617621e-08
4251,1.3970602189617621e-08
